nprobe,recall,query_time
10,0.874610,0.002776
15,0.933750,0.003688
20,0.958200,0.004877
25,0.970540,0.006389
30,0.978740,0.006791
35,0.984140,0.007676
40,0.987590,0.008444
45,0.989800,0.009783
50,0.991830,0.010592
55,0.993340,0.010973
60,0.994600,0.011891
65,0.995520,0.012654
70,0.996300,0.013236
75,0.996840,0.013870
80,0.997250,0.015149
85,0.997720,0.015080
90,0.997930,0.015708
95,0.998210,0.016469
100,0.998420,0.017262
105,0.998630,0.017841
110,0.998770,0.018798
115,0.998890,0.019535
120,0.999030,0.020495
125,0.999150,0.019592
130,0.999190,0.020432
135,0.999230,0.020845
140,0.999310,0.021442
145,0.999390,0.021729
150,0.999470,0.021907
